OBJECTID,Dato_OG,Date_text,Date,Time,Time_24,TimeCategory,Year,Kommune,Stedfesting,Art,Kjonn,Alder,arsak,Utfall,Fallvilt_ID,UTM33_ost,UTM33_nord,NEAR_FID,NEAR_DIST,Naermest fartssone,
233,12/12/2022 1:00,December-22,12/12/2022,1:00:00,1,AM,2022,3024 Baerum,Brynsveien,Radyr,Hann,Voksent dyr,Pakjort av motorkjoretoy,Avlivet etter ettersok,1251410,248160.118,6650963.641,55,24.18255172,50,
535,8/24/2022 1:00,August-22,8/24/2022,1:00:00,1,AM,2022,3025 Asker,Heggedalsveien,Radyr,Hunn,Voksent dyr,Pakjort av motorkjoretoy,Dodt pa stedet,1244170,240887.5119,6638606.713,90,21.59713097,50,
2252,9/11/2020 1:00,September-20,9/11/2020,1:00:00,1,AM,2020,3023 Nesodden,Kirkeveien 91,Radyr,Hunn,Voksent dyr,Pakjort av motorkjoretoy,Dodt pa stedet,1194491,257462.8958,6637562.024,173,6.067182408,50,
5328,6/20/2016 1:00,June-16,6/20/2016,1:00:00,1,AM,2016,3053 Jevnaker,moesmoen,Radyr,Hann,Ungdyr,Pakjort av motorkjoretoy,Dodt pa stedet,1096691,244510,6685294,236,9.968448284,50,
5901,7/17/2015 1:00,July-15,7/17/2015,1:00:00,1,AM,2015,3025 Asker,Skjellestadgardene,Radyr,Hunn,Kalv/arsunge,Pakjort av motorkjoretoy,Dodt pa stedet,1060008,243421,6637599,211,7.969493175,50,
272,11/22/2022 1:00,November-22,11/22/2022,1:00:00,1,AM,2022,3026 Aurskog-Holand,Killingmo,Radyr,Hunn,Ungdyr,Pakjort av motorkjoretoy,Funnet dod etter ettersok,1249962,299609.1784,6650742.769,23,4.671122969,60,
1748,4/20/2021 1:00,April-21,4/20/2021,1:00:00,1,AM,2021,3023 Nesodden,Jaer skole,Radyr,Ukjent,Ukjent,Pakjort av motorkjoretoy,Ettersok avsluttet - ikke funnet,1213866,258123.7848,6635891.698,39,4.125974166,60,
1772,4/4/2021 1:00,April-21,4/4/2021,1:00:00,1,AM,2021,3014 Indre ostfold,Fossum,Radyr,Ukjent,Ukjent,Pakjort av motorkjoretoy,Ettersok avsluttet - ikke funnet,1211665,279817.722,6614286.927,150,0.393347197,60,
2297,8/22/2020 1:00,August-20,8/22/2020,1:00:00,1,AM,2020,3026 Aurskog-Holand,Killingmo,Radyr,Ukjent,Ukjent,Pakjort av motorkjoretoy,Ettersok avsluttet - ikke funnet,1193941,298443.9303,6651311.688,23,2.469981141,60,
2845,10/28/2019 1:00,October-19,10/28/2019,1:00:00,1,AM,2019,3003 Sarpsborg,Rv. 110 Oltidsveien 215,Radyr,Hann,Ungdyr,Pakjort av motorkjoretoy,Dodt pa stedet,1169540,280777.5402,6569670.858,319,0.522941,60,
3750,8/10/2018 1:00,August-18,8/10/2018,1:00:00,1,AM,2018,3011 Hvaler,Langekilbakken,Radyr,Hunn,Voksent dyr,Pakjort av motorkjoretoy,Dodt pa stedet,1134856,264273,6559141,211,2.720241302,60,
3934,5/10/2018 1:00,May-18,5/10/2018,1:00:00,1,AM,2018,3019 Vestby,grimsrud,Radyr,Hann,Voksent dyr,Pakjort av motorkjoretoy,Avlivet pa stedet,1131030,257946,6605442,58,12.21254034,60,
4178,1/3/2018 1:00,January-18,1/3/2018,1:00:00,1,AM,2018,3026 Aurskog-Holand,"Lemon,Aurskog",Radyr,Hunn,Kalv/arsunge,Pakjort av motorkjoretoy,Avlivet pa stedet,1121732,298355,6651833,23,0.664546328,60,
4207,12/21/2017 1:00,December-17,12/21/2017,1:00:00,1,AM,2017,3026 Aurskog-Holand,"Lemon,Aurskog",Radyr,Hann,Kalv/arsunge,Pakjort av motorkjoretoy,Dodt pa stedet,1121748,298357,6651835,23,2.648736788,60,
4353,10/26/2017 1:00,October-17,10/26/2017,1:00:00,1,AM,2017,3020 Nordre Follo,Siggerudveien v/Tangenhagen,Radyr,Ukjent,Ukjent,Pakjort av motorkjoretoy,Ettersok avsluttet - ikke funnet,1109512,269561,6634840,47,3.222577223,60,
4577,6/23/2017 1:00,June-17,6/23/2017,1:00:00,1,AM,2017,3019 Vestby,grimsrud,Radyr,Hann,Voksent dyr,Pakjort av motorkjoretoy,Dodt pa stedet,1125940,257832,6605540,58,2.917743065,60,
4626,5/29/2017 1:00,May-17,5/29/2017,1:00:00,1,AM,2017,3019 Vestby,grimsrud,Radyr,Hunn,Voksent dyr,Pakjort av motorkjoretoy,Dodt pa stedet,1125922,257951,6605463,58,8.346092581,60,
5077,10/23/2016 1:00,October-16,10/23/2016,1:00:00,1,AM,2016,3028 Enebakk,Fossum,Radyr,Hunn,Kalv/arsunge,Pakjort av motorkjoretoy,Avlivet pa stedet,1099760,285725,6636969,117,3.588987479,60,
5209,8/24/2016 1:00,August-16,8/24/2016,1:00:00,1,AM,2016,3026 Aurskog-Holand,Tomter,Radyr,Hunn,Ungdyr,Pakjort av motorkjoretoy,Funnet dod etter ettersok,1087404,298882,6651042,23,0.699410675,60,
5357,6/6/2016 1:00,June-16,6/6/2016,1:00:00,1,AM,2016,3017 Rade,Rade Kirke,Radyr,Hann,Voksent dyr,Pakjort av motorkjoretoy,Avlivet pa stedet,1080166,266636,6585823,172,1.303387834,60,
1598,6/11/2021 1:00,June-21,6/11/2021,1:00:00,1,AM,2021,3004 Fredrikstad,soliveien 74,Radyr,Ukjent,Ukjent,Pakjort av motorkjoretoy,Ettersok avsluttet - ikke funnet,1216522,272888.9828,6577819.324,21,0.207033068,70,
2266,9/5/2020 1:00,September-20,9/5/2020,1:00:00,1,AM,2020,3004 Fredrikstad,Husebyveien,Radyr,Hunn,Kalv/arsunge,Pakjort av motorkjoretoy,Dodt pa stedet,1194213,264809.7579,6575353.438,25,1.3560393,70,
2366,7/18/2020 1:00,July-20,7/18/2020,1:00:00,1,AM,2020,3026 Aurskog-Holand,Harkerud,Radyr,Ukjent,Ukjent,Pakjort av motorkjoretoy,Ettersok avsluttet - ikke funnet,1192008,297271.5959,6650950.722,10,18.48264445,70,
3090,6/13/2019 1:00,June-19,6/13/2019,1:00:00,1,AM,2019,3026 Aurskog-Holand,Harkerudkrysset,Radyr,Hunn,Voksent dyr,Pakjort av motorkjoretoy,Avlivet pa stedet,1170752,297265.0733,6650964.471,10,13.39351706,70,
3219,4/14/2019 1:00,April-19,4/14/2019,1:00:00,1,AM,2019,3022 Frogn,Knardal,Radyr,Hann,Voksent dyr,Pakjort av motorkjoretoy,Dodt pa stedet,1156510,257839,6628551,8,2.512927907,70,
3820,7/5/2018 1:00,July-18,7/5/2018,1:00:00,1,AM,2018,3011 Hvaler,Bekkene,Radyr,Hunn,Voksent dyr,Pakjort av motorkjoretoy,Observert – antatt uskadd,1134114,266686,6557706,63,0.523725067,70,
4467,8/22/2017 1:00,August-17,8/22/2017,1:00:00,1,AM,2017,3014 Indre ostfold,Tommerasveien,Radyr,Hunn,Voksent dyr,Pakjort av motorkjoretoy,Dodt pa stedet,1117889,285560,6611502,47,2.999733023,70,
