"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"8","URBAN COVER_FULL",6,25746.3259102808,0,1,0.999999999073474,-12867.1609552356,0.999999999073474
"9","SepSPEEDf_FULL_INX",13,25787.9682982883,41.6423880075781,9.06714033546498e-10,9.06714032706404e-10,-12880.9754800006,0.999999999980188
"7","SPEEDf_FULL",9,25795.6154124831,49.2895022023258,1.98116473503241e-11,1.98116473319681e-11,-12888.8034201191,1
"2","SPEEDc_DIST FOREST",6,26067.761497294,321.43558701326,1.5890923480515e-70,1.58909234657917e-70,-13027.8787487422,1
"11","Urban_NozDFR",5,26079.812988933,333.48707865227,3.83884854066282e-73,3.83884853710602e-73,-13034.9050660311,1
"3","URBAN COVER_DIST FOR",3,26081.4628573815,335.136947100746,1.68242842066352e-73,1.68242841910471e-73,-13037.730857371,1
"10","SPEED_NozDFR",8,26195.9712613892,449.645351108404,2.29484099804459e-98,2.29484099591836e-98,-13089.9822019599,1
"4","SPEEDf_FORESTCOVER",6,26320.7875171907,574.461606909921,1.80820233976536e-125,1.80820233809001e-125,-13154.3917586906,1
"1","DIST FOREST",2,26322.2906774954,575.964767214657,8.52785709322003e-126,8.52785708531876e-126,-13159.1450531014,1
"6","SPEEDf_TRAFFIC",6,26322.8925901177,576.566679836971,6.31155322228516e-126,6.31155321643734e-126,-13155.4442951541,1
"5","SPEEDf_EFFICIENCY",6,26351.928584461,605.602674180191,3.12644065050609e-132,3.12644064760937e-132,-13169.9622923257,1
