"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"9","DIST FOREST",2,26322.2906774954,0,1,0.999999999763771,-13159.1450531014,0.999999999763771
"8","URBAN COVER",2,26366.6231194533,44.3324419578566,2.36228637026415e-10,2.36228636970611e-10,-13181.3112740804,1
"3","SPEEDf",5,26411.2227783966,88.9321009012128,4.88247082961921e-20,4.88247082846583e-20,-13200.6099607629,1
"2","SPEEDc",2,26520.2110979457,197.920420450278,1.05226898795542e-43,1.05226898770684e-43,-13258.1052633266,1
"5","FOREST COVER",2,26588.1651607142,265.87448321878,1.84539580744446e-58,1.84539580700853e-58,-13292.0822947108,1
"12","EFFICIENCY",2,26677.3514063321,355.060728836703,7.93491653380707e-78,7.93491653193262e-78,-13336.6754175198,1
"4","TRAFFIC",2,26682.225930582,359.935253086533,6.93510228851264e-79,6.93510228687437e-79,-13339.1126796447,1
"7","WATER COVER",2,26700.8074584417,378.516780946276,6.39919528260819e-83,6.39919528109652e-83,-13348.4034435746,1
"10","DIST AG",2,26731.0089362786,408.718258783189,1.76993687989893e-89,1.76993687948082e-89,-13363.504182493,1
"11","DIST WATER",2,26735.0398126501,412.749135154718,2.3586532328618e-90,2.35865323230461e-90,-13365.5196206788,1
"6","AG COVER",2,26757.2735247205,434.982847225114,3.50489380498384e-95,3.50489380415589e-95,-13376.636476714,1
"1","INTERCEPT",1,26779.385888912,457.095211416596,5.53395965585919e-100,5.53395965455191e-100,-13388.6928492451,1
"13","DIST URBAN",2,26780.004636926,457.713959430588,4.06140748252724e-100,4.06140748156782e-100,-13388.0020328167,1
